fab,factory,date,line,wisdom_batch_id
Fab1,F57,2021/4/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2019/9/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2020/10/23,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2022/1/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2019/7/29,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2021/12/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2020/5/24,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2021/4/30,1.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2019/5/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2021/7/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2021/11/18,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2021/11/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2021/7/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2021/9/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2020/4/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2022/1/26,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2019/1/26,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/2/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2022/1/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2021/9/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2020/12/29,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2019/2/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/10/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/3/21,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/8/8,2,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2021/9/19,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2021/11/14,1.3,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2019/4/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2021/5/11,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2020/5/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2020/12/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2021/10/29,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2020/11/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2020/1/2,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2021/4/14,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2020/12/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2020/10/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2019/2/24,2,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2019/2/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2019/4/11,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2022/1/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2019/12/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2021/9/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2019/1/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2019/8/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2022/1/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2020/3/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2019/7/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/5/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2020/2/21,,20220421105654_82141b3b9409484ba9ea5469c0339084
