meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
MP352,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP341,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
冰機一,空調用電,Fab1,Fab12,冰機1,20220519095229_02e064cd16a944128c90118f8081c77e
ZP3-3,製程用電,Fab3,Fab3,3F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP363,純水用電,Fab2,Fab12,純水,20220519095229_02e064cd16a944128c90118f8081c77e
冰機二,空調用電,Fab1,Fab12,冰機2,20220519095229_02e064cd16a944128c90118f8081c77e
ZP3-6 (TR3) 無塵室北側,製程用電,Fab3,Fab3,無塵室設備盤,20220519095229_02e064cd16a944128c90118f8081c77e
CR-MP10,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP15(餐廳）,基礎用電,Fab3,Fab3,餐廳,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP168(FAB2)EML,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP281,空調用電,Fab2,Fab12,2F FFU,20220519095229_02e064cd16a944128c90118f8081c77e
MP543,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
UPSZP3-1,製程用電,Fab3,Fab3,無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
CRMP22,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-12,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-10,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP263,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
2FMP12,空調用電,Fab2,Fab12,2F空調,20220519095229_02e064cd16a944128c90118f8081c77e
MP124,製程用電,Fab2,Fab12,試產設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP256,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
2A T03,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP33(UPS電源),,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
PC1,空調用電,Fab1,Fab12,PC1,20220519095229_02e064cd16a944128c90118f8081c77e
MP544,基礎用電,Fab2,Fab12,消防,20220519095229_02e064cd16a944128c90118f8081c77e
MP11,,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-18,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
3FMP11,空調用電,Fab2,Fab12,3F空調,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-21,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
