meter,type,fab,fab_group,meter_name
MP352,製程用電,Fab2,Fab12,3F設備
MP341,製程用電,Fab2,Fab12,3F設備
冰機一,空調用電,Fab1,Fab12,冰機1
ZP3-3,製程用電,Fab3,Fab3,3F無塵室設備
MP363,純水用電,Fab2,Fab12,純水
冰機二,空調用電,Fab1,Fab12,冰機2
ZP3-6 (TR3) 無塵室北側,製程用電,Fab3,Fab3,無塵室設備盤
CR-MP10,製程用電,Fab1,Fab12,A棟設備
MP15(餐廳）,基礎用電,Fab3,Fab3,餐廳
DB_MP168(FAB2)EML,照明插座,Fab2,Fab12,照明
MP281,空調用電,Fab2,Fab12,2F FFU
MP543,製程用電,Fab2,Fab12,3F設備
UPSZP3-1,製程用電,Fab3,Fab3,無塵室設備
CRMP22,製程用電,Fab2,Fab12,Fab2棟設備
ZP1-12,製程用電,Fab3,Fab3,1F無塵室設備
ZP1-10,製程用電,Fab3,Fab3,1F無塵室設備
MP263,照明插座,Fab2,Fab12,照明
2FMP12,空調用電,Fab2,Fab12,2F空調
MP124,製程用電,Fab2,Fab12,試產設備
MP256,製程用電,Fab2,Fab12,2F設備
2A T03,製程用電,Fab1,Fab12,A棟設備
PC1,空調用電,Fab1,Fab12,PC1
MP544,基礎用電,Fab2,Fab12,消防
ZP1-18,製程用電,Fab3,Fab3,1F無塵室設備
3FMP11,空調用電,Fab2,Fab12,3F空調
ZP1-21,製程用電,Fab3,Fab3,1F無塵室設備
DB_MP145(FAB2)NLP-1,照明插座,Fab2,Fab12,照明
ZP1-11,製程用電,Fab3,Fab3,1F無塵室設備
DB_MP442(FAB2)PC1,空調用電,Fab2,Fab12,空調水泵
資訊機房（1#）*80,基礎用電,Fab3,Fab3,None
DB_MP431(FAB2)CH1,空調用電,Fab2,Fab12,1號冰機
MP551,MIS用電,Fab2,Fab12,MIS
K,製程用電,Fab1,Fab12,A棟設備
MP232,製程用電,Fab2,Fab12,2F設備
MP283,真空排氣,Fab2,Fab12,排氣
UPS-FFU2-1（TR1ZAP1),空調用電,Fab3,Fab3,FFU（2F無塵室）
MP533,空調用電,Fab2,Fab12,空調水泵
MP542,基礎用電,Fab2,Fab12,電梯
冰機三,空調用電,Fab1,Fab12,冰機3
RACP1-7 (TR 5）樓頂MAU,空調用電,Fab3,Fab3,冷卻水塔
3DPE-1,製程用電,Fab1,Fab12,A棟設備
MP253,製程用電,Fab2,Fab12,2F設備
純水二期,純水用電,Fab1,Fab12,純水
UPS-FFU1-1（TR1ZAP1),空調用電,Fab3,Fab3,FFU（1F無塵室）
2ATR2,製程用電,Fab1,Fab12,A棟設備
DB_MP231(FAB2)ZK,製程用電,Fab2,Fab12,Fab2棟設備
MP167,照明插座,Fab2,Fab12,照明
MP153,照明插座,Fab2,Fab12,一層照明
MP135,空壓用電,Fab2,Fab12,Fab2棟3#
DB_MP256(FAB2)2F-TDB-18,製程用電,Fab2,Fab12,Fab2棟設備
MP121（空壓機1#),空壓用電,Fab3,Fab3,空壓機1#
MP262,製程用電,Fab2,Fab12,Fab2棟設備
MP362,純水用電,Fab2,Fab12,純水
LP1-1,照明插座,Fab3,Fab3,照明
ZP1-14,製程用電,Fab3,Fab3,1F無塵室設備
MP554,製程用電,Fab2,Fab12,3F設備
MP23（空壓機2#),空壓用電,Fab3,Fab3,空壓機2#
2ATR3,製程用電,Fab1,Fab12,A棟設備
DB_MP244(FAB2)2F-TDB-13,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP284(FAB2)3F-EPDP-MP1,空調用電,Fab2,Fab12,3F FFU
DB_MP255(FAB2)2F-TDB-17,製程用電,Fab2,Fab12,Fab2棟設備
MP463,真空排氣,Fab2,Fab12,真空
2FMP22,空調用電,Fab2,Fab12,2F空調
MP161,基礎用電,Fab2,Fab12,潛伏泵
ZP1-3,製程用電,Fab3,Fab3,1F無塵室設備
MP353,製程用電,Fab2,Fab12,3F設備
MP252,製程用電,Fab2,Fab12,2F設備
MP543(風冷熱泵),空調用電,Fab3,Fab3,風冷熱泵
MP152,照明插座,Fab2,Fab12,地下一層照明
MP134,基礎用電,Fab2,Fab12,消防
PCI(1#原緯潤冷卻水泵*50,空調用電,Fab3,Fab3,None
DB_MP357(FAB2)3F-TDB-19,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP464(FAB2)IQC,QE用電,Fab2,Fab12,IQC
MP132,製程用電,Fab2,Fab12,1F設備
DB_MP141(FAB2)1F-TDB-13,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP331(FAB2)3FMAU,空調用電,Fab2,Fab12,MAU
MP358,製程用電,Fab2,Fab12,3F設備
UPS-ZP1-2,製程用電,Fab3,Fab3,1F無塵室設備
TR1,高壓變壓器,Fab2,Fab12,高壓變壓器
ZP1-15,製程用電,Fab3,Fab3,1F無塵室設備
MP442,空調用電,Fab2,Fab12,空調水泵
MP461,純水用電,Fab2,Fab12,純水
UPS-ZP1-4,製程用電,Fab3,Fab3,1F無塵室設備
ZP1-9,製程用電,Fab3,Fab3,1F無塵室設備
MP234,空壓用電,Fab2,Fab12,Fab2棟7#
DB_MP555(FAB2)DIW,純水用電,Fab2,Fab12,純水1
